Start_Time Number_of_Events Sampled_Luminosity Prescale Livetime
7202243 45485 0.00758083333333333 100.19560242 0.901688865076575
7203592 51210 0.008535 90.67360687 0.920281564817081
7205033 70262 0.0117103333333333 82.27799988 0.926128621432634
7206832 43613 0.00726883333333333 74.03839874 0.926940662863652
7207947 20411 0.00340183333333333 70.04360199 0.935559300831434
7208484 69359 0.0115598333333333 68.64800262 0.932853016901861
7210257 26108 0.00435133333333333 63.48680115 0.931783655535339
7210979 7253 0.00120883333333333 61.69639969 0.884816950579918
7211236 73097 0.0121828333333333 60.98519897 0.937692276326046
7213109 40663 0.00677716666666667 55.72600174 0.939228729412769
7214162 68133 0.0113555 53.78720093 0.943427742289603
7215802 36383 0.00606383333333333 52.99480057 0.934548106722365
7260294 27627 0.0046045 157.64241028 0.692731114370863
7261353 2902 0.000483666666666667 134.22799683 0.820495916889553
7261513 3003 0.0005005 131.41079712 0.830139742129633
7261683 2492 0.000415333333333333 129.27920532 0.817535861029547
7261821 64225 0.0107041666666667 126.98880005 0.90748443883038
7263580 70589 0.0117648333333333 108.35040283 0.911320046276982
7265442 72825 0.0121375 93.94799805 0.918559654526751
7267297 76405 0.0127341666666667 83.99639893 0.922933702504475
7269161 77380 0.0128966666666667 76.45839691 0.929180215298579
7271130 86166 0.014361 69.00160217 0.93195116059654
7281879 16649 0.00277483333333333 186.69358826 0.613493726944257
7282785 23477 0.00391283333333333 160.41479492 0.39716610677009
7284370 61004 0.0101673333333333 130.52320862 0.9054813536353
7286532 53985 0.0089975 108.87560272 0.908941838945441
7287958 65069 0.0108448333333333 99.98560333 0.913749301956096
7289676 68043 0.0113405 97.53200531 0.877932853196009
7291320 2152 0.000358666666666667 108.78959656 0.813497870861215
7291782 39762 0.006627 112.55000305 0.894348933632477
7292785 3251 0.000541833333333333 122.43840027 0.848532741474096
7292961 50951 0.00849183333333333 123.23239899 0.914458232804334
7294239 24095 0.00401583333333333 127.67560577 0.910087877600915
7295246 60126 0.010021 133.25999451 0.903745349950158
7296850 55367 0.00922783333333333 140.96600342 0.917579623441459
7298385 8165 0.00136083333333333 142.76400757 0.88721004938828
7298656 29370 0.004895 143.36158752 0.912442758810788
7299510 55133 0.00918883333333333 142.79521179 0.893559287404725
7317126 15973 0.00266216666666667 194.61000061 0.762463588722754
7317613 4806 0.000801 191.21400452 0.795627351735674
7317779 24209 0.00403483333333333 190.66079712 0.75839408762372
7318851 17470 0.00291166666666667 189.71080017 0.83742413292972
7319917 21296 0.00354933333333333 189.11999512 0.819101305953302
7320557 65697 0.0109495 189.05000305 0.854018970155787
7322357 8206 0.00136766666666667 186.44441223 0.784385528876421
7322668 3057 0.0005095 186.30160522 0.765533405186895
7322866 4428 0.000738 185.93800354 0.811378408268754
7323065 55956 0.009326 184.48959351 0.865471740218173
7325218 27491 0.00458183333333333 180.64360046 0.768693578320895
7326358 61203 0.0102005 177.56278992 0.85866376316669
7328205 59850 0.009975 164.67320251 0.876286649625592
7330047 58023 0.0096705 153.52841187 0.894105440470181
7331694 21504 0.003584 147.94720459 0.881986289615855
7332339 30218 0.00503633333333333 147.79119873 0.88639545735855
7337987 29214 0.004869 204.20919800 0.801964547010868
7339066 48891 0.0081485 194.43121338 0.753180858352775
7340695 67545 0.0112575 191.78880310 0.819951663933117
7342572 65038 0.0108396666666667 189.88041687 0.82450582915258
7344484 66420 0.01107 185.53720093 0.866667796627811
7346371 65914 0.0109856666666667 179.24679565 0.87894052435928
7348258 65270 0.0108783333333333 173.70480347 0.877548497727045
7350133 64019 0.0106698333333333 169.03521729 0.879330007069665
7352011 64929 0.0108215 155.37759399 0.882776473149418
7353889 65647 0.0109411666666667 147.84478760 0.880573322234042
7355819 39793 0.00663216666666667 140.71479797 0.857577169879491
7357483 39218 0.00653633333333333 133.39720154 0.859602150681418
7359120 51121 0.00852016666666667 120.68280029 0.901901550247863
7360809 14488 0.00241466666666667 122.69479370 0.876963498031321
7361290 15043 0.00250716666666667 121.16639709 0.827700333874653
7361797 14819 0.00246983333333333 118.58639526 0.880482890730264
7362264 14966 0.00249433333333333 117.21080017 0.877997661338603
7362737 14807 0.00246783333333333 117.81240082 0.879010425695752
7363215 14235 0.0023725 115.72440338 0.881200770917126
7363685 15043 0.00250716666666667 114.15600586 0.830087341332169
7364180 14678 0.00244633333333333 109.61039734 0.878886977386299
7364652 14823 0.0024705 107.36639404 0.87701065238633
7365128 42276 0.007046 105.32560730 0.908611611945973
7366401 56491 0.00941516666666667 104.51039886 0.894378015872968
7429228 78272 0.0130453333333333 200.33920288 0.848108062880371
7431262 41266 0.00687766666666667 190.33880615 0.860888501961751
7432490 61314 0.010219 188.51400757 0.859659140141233
7434175 23828 0.00397133333333333 192.31040955 0.868634391565084
7434881 56362 0.00939366666666667 188.72599792 0.860364022217887
7436844 47439 0.0079065 174.18040466 0.891884754856691
7438278 11365 0.00189416666666667 171.04640198 0.740512000341354
7438836 55114 0.00918566666666666 172.13720703 0.798098408644022
7440679 62350 0.0103916666666667 157.34400940 0.886862231729937
7442546 58366 0.00972766666666667 149.28120422 0.818164633080719
7444440 60723 0.0101205 134.91479492 0.900664467910899
7446327 85119 0.0141865 122.54039764 0.744530814169128
7449431 33564 0.005594 111.23760986 0.906475669076717
7450601 50841 0.0084735 105.99880219 0.907560109734591
7452509 65264 0.0108773333333333 97.79600525 0.922154350987641
7454312 59715 0.0099525 91.59320068 0.918599770390831
7476379 10342 0.00172366666666667 212.98841858 0.743299808189926
7476716 8392 0.00139866666666667 207.56080627 0.601661144257846
7477081 48599 0.00809983333333333 204.39640808 0.820962058786232
7478790 14753 0.00245883333333333 200.67880249 0.789237682507049
7479318 33570 0.005595 189.52641296 0.717019694883465
7481356 13895 0.00231583333333333 679.63867188 0.873865233601254
7482718 11622 0.001937 684.67596436 0.864348412310104
7484404 10777 0.00179616666666667 677.93737793 0.865083205817901
7485682 5172 0.000862 683.15734863 0.83754778808099
7486533 4674 0.000779 629.21331787 0.794833161959564
7487103 16534 0.00275566666666667 661.29998779 0.874911854416626
7488833 17322 0.002887 617.84533691 0.843196731440904
7490958 17070 0.002845 591.51995850 0.862718400195365
7492741 18559 0.00309316666666667 555.71331787 0.883253326094681
7494731 3666 0.000611 572.32934570 0.859164382955791
7495321 17065 0.00284416666666667 585.94134521 0.854159960848843
7497284 17113 0.00285216666666667 423.93069458 0.730839254199978
7498905 17326 0.00288766666666667 527.26135254 0.877522350800673
7500828 29986 0.00499766666666667 319.60134888 0.891482914125319
7502986 17236 0.00287266666666667 372.51202393 0.916805392411795
7504839 19463 0.00324383333333333 268.40667725 0.921750435202088
7506474 20480 0.00341333333333333 354.57867432 0.910999412528682
7508351 3917 0.000652833333333333 337.57867432 0.922115724661994
7508818 699 0.0001165 333.71868896 0.825930848707179
7508944 15440 0.00257333333333333 332.86267090 0.916142476927986
7510382 1537 0.000256166666666667 324.57067871 0.830426667954202
7510588 5176 0.000862666666666667 323.15069580 0.900151136917776
7516694 13578 0.002263 799.44665527 0.776010501611225
7518292 18190 0.00303166666666667 745.23333740 0.747344620346263
7520281 19174 0.00319566666666667 747.00268555 0.851202863223116
7522856 22346 0.00372433333333333 736.29730225 0.889497259036659
7525213 474 7.9e-05 672.25201416 0.679085937150728
7525570 19764 0.003294 670.10931396 0.825434775242424
7527695 18837 0.0031395 694.65734863 0.888152662247883
7529765 18202 0.00303366666666667 659.21331787 0.880996676813912
7531872 18148 0.00302466666666667 614.96270752 0.89099367117661
7533876 16326 0.002721 572.43865967 0.842288199203825
7535786 5860 0.000976666666666667 303.55068970 0.750416518826567
7536341 17223 0.0028705 482.82531738 0.887070851150459
7538252 11177 0.00186283333333333 434.13601685 0.861362773942474
7540399 19232 0.00320533333333333 386.51736450 0.907554762870753
7542347 20355 0.0033925 340.88534546 0.918816456185663
7544301 10325 0.00172083333333333 304.92401123 0.918675976103489
7545412 20437 0.00340616666666667 278.67068481 0.927235615051677
7547302 24258 0.004043 246.45333862 0.936909341325903
7549091 5720 0.000953333333333333 279.50399780 0.908621813616417
7550102 11860 0.00197666666666667 279.13867188 0.917843663018003
7563709 6591 0.0010985 855.10668945 0.392807526077127
7565230 8333 0.00138883333333333 643.59997559 0.314997586008009
7567273 20255 0.00337583333333333 659.66400146 0.828094948511318
7569234 20455 0.00340916666666667 709.02935791 0.863776902254027
7571262 19481 0.00324683333333333 719.89068604 0.875824516846883
7573115 19387 0.00323116666666667 721.14135742 0.89447379030207
7574960 19065 0.0031775 708.32531738 0.882038190001354
7576934 8668 0.00144466666666667 672.34399414 0.824970220896253
7577941 17528 0.00292133333333333 656.39471436 0.896547475734874
7579810 19822 0.00330366666666667 604.61199951 0.841670864156675
7581703 18518 0.00308633333333333 664.54132080 0.878851806432736
7583578 4038 0.000673 619.05334473 0.867754348406513
7584064 5288 0.000881333333333333 634.98406982 0.82116406431811
7588899 4829 0.000804833333333333 396.56933594 0.873135862971138
7589394 23025 0.0038375 401.21868896 0.890455450637207
7591393 2642 0.000440333333333333 413.83200073 0.803823205343339
7593025 4986 0.000831 439.32135010 0.877495966347701
7593526 4868 0.000811333333333334 441.56933594 0.847304550391135
7604512 15649 0.00260816666666667 860.94006348 0.679626973203517
7606091 19135 0.00318916666666667 996.70275879 0.710117662092842
7608231 16609 0.00276816666666667 1128.29724121 0.815130048114094
7610133 16187 0.00269783333333333 1040.68273926 0.863343729843468
7612011 17104 0.00285066666666667 827.17864990 0.895257626068003
7613911 22690 0.00378166666666667 673.56805420 0.868651858606654
7616800 24099 0.0040165 585.69201660 0.890660775387887
7619112 18423 0.0030705 557.84667969 0.833544974042723
7621020 18107 0.00301783333333333 535.66534424 0.80155535554567
7622975 19045 0.00317416666666667 521.90264893 0.852654194217366
7624866 19431 0.0032385 510.26531982 0.867385187002944
7626906 18462 0.003077 436.79998779 0.883229899790986
